status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Medium,sequence,DialogueEvent,dialogueEventType,dialogue lifecycle: finish without preceding start,12 occurrence(s),every 'DialogueFinishEvent' preceded by 'DialogueStartEvent' per conversationId,,wenyi090326-4.stratalog.logdata.json[7806] _id=6a9cc790485cab4c95405cd6 ts=2026-09-06T01:53:20.5980000Z | wenyi090326-4.stratalog.logdata.json[7724] _id=6a9cc7ce485cab4c95405d7a ts=2026-09-06T01:54:22.6280000Z | wenyi090326-4.stratalog.logdata.json[4146] _id=6a9ccdd8485cab4c95407972 ts=2026-09-06T02:20:08.6970000Z,observed data (dialogue-event PDF not machine-readable)
WARNING,Medium,sequence,PuzzlePieceVisibleEvent,actionType,camera centering: close without preceding open,17 occurrence(s),every 'BecameCameraUncentered' preceded by 'BecameCameraCentered' per pieceId,,wenyi090326-4.stratalog.logdata.json[7290] _id=6a9cc973485cab4c954060ee ts=2026-09-06T02:01:21.6430000Z | wenyi090326-4.stratalog.logdata.json[6596] _id=6a9cc9d4485cab4c9540665a ts=2026-09-06T02:02:58.5520000Z | wenyi090326-4.stratalog.logdata.json[6521] _id=6a9cc9dc485cab4c954066ee ts=2026-09-06T02:03:07.4880000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Medium,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: close without preceding open,30 occurrence(s),every 'BecameInvisible' preceded by 'BecameVisible' per pieceId,,wenyi090326-4.stratalog.logdata.json[7569] _id=6a9cc95c485cab4c95405ee8 ts=2026-09-06T02:00:25.9860000Z | wenyi090326-4.stratalog.logdata.json[7568] _id=6a9cc95c485cab4c95405eec ts=2026-09-06T02:00:26.0500000Z | wenyi090326-4.stratalog.logdata.json[7474] _id=6a9cc962485cab4c95405f7a ts=2026-09-06T02:01:02.5320000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Medium,sequence,argumentationEvent,actionType,argumentation session: close without preceding open,2 occurrence(s),every 'argumentationSessionClose' preceded by 'argumentationSessionOpen' per argumentationTitle,,wenyi090326-4.stratalog.logdata.json[2500] _id=6a9d8a39485cab4c9540866a ts=2026-09-06T15:43:54.0500000Z | wenyi090326-4.stratalog.logdata.json[493] _id=6a9d92eb485cab4c95409620 ts=2026-09-06T16:20:59.5100000Z,08-13-26/Investigation-results/argumentation-event-investigation.md
WARNING,Medium,sequence,chatEvent,actionType,chat open/close: close without preceding open,1 occurrence(s),every 'Close' preceded by 'Open',,wenyi090326-4.stratalog.logdata.json[179] _id=6a9d94be485cab4c95409896 ts=2026-09-06T16:28:47.1030000Z,08-13-26/Investigation-results/chat-event-investigation.md
WARNING,Medium,sequence,questEvent,questEventType,quest lifecycle: finish without preceding start,1 occurrence(s),every 'questFinishEvent' preceded by 'questActiveEvent' per questID,,wenyi090326-4.stratalog.logdata.json[2375] _id=6a9d8b9b485cab4c95408768 ts=2026-09-06T15:49:46.9210000Z,08-13-26/Investigation-results/quest-event-investigation.md
WARNING,Medium,temporal,,,records without a parseable client timestamp,2 records,,,wenyi090326-4.stratalog.logdata.json[8815] _id=6a9d8b87485cab4c95408752 ts=? | wenyi090326-4.stratalog.logdata.json[8816] _id=6a9d8f8f485cab4c95408cb8 ts=?,
WARNING,Low,schema,gameStartEvent,data.<empty>,field name is an empty string,path data.<empty> in 7 records,a descriptive field name,types: {'bool': 7},wenyi090326-4.stratalog.logdata.json[8814] _id=6a9cb06d485cab4c954054ee ts=2026-09-06T00:14:37.4710000Z | wenyi090326-4.stratalog.logdata.json[8612] _id=6a9cb1c2485cab4c95405684 ts=2026-09-06T00:20:18.7820000Z | wenyi090326-4.stratalog.logdata.json[7641] _id=6a9cc89a485cab4c95405e22 ts=2026-09-06T01:57:46.9010000Z,
WARNING,Low,schema,gameWindowFocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 24 records,a descriptive field name,types: {'bool': 24},wenyi090326-4.stratalog.logdata.json[8805] _id=6a9cb089485cab4c95405500 ts=2026-09-06T00:15:05.4500000Z | wenyi090326-4.stratalog.logdata.json[8613] _id=6a9cb170485cab4c95405680 ts=2026-09-06T00:18:56.5610000Z | wenyi090326-4.stratalog.logdata.json[8078] _id=6a9cc466485cab4c95405ab4 ts=2026-09-06T01:39:50.9770000Z,
WARNING,Low,schema,gameWindowUnfocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 25 records,a descriptive field name,types: {'bool': 25},wenyi090326-4.stratalog.logdata.json[8807] _id=6a9cb085485cab4c954054fc ts=2026-09-06T00:15:01.8090000Z | wenyi090326-4.stratalog.logdata.json[8614] _id=6a9cb16f485cab4c9540567e ts=2026-09-06T00:18:55.2830000Z | wenyi090326-4.stratalog.logdata.json[8251] _id=6a9cbdab485cab4c9540595a ts=2026-09-06T01:11:08.1980000Z,
WARNING,Low,sequence,PuzzlePieceVisibleEvent,actionType,camera centering: repeated open with no intervening close,159 occurrence(s),,,wenyi090326-4.stratalog.logdata.json[7337] _id=6a9cc96e485cab4c95406088 ts=2026-09-06T02:01:17.0400000Z | wenyi090326-4.stratalog.logdata.json[7292] _id=6a9cc972485cab4c954060e4 ts=2026-09-06T02:01:21.5760000Z | wenyi090326-4.stratalog.logdata.json[7220] _id=6a9cc979485cab4c95406170 ts=2026-09-06T02:01:27.8770000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Low,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: repeated open with no intervening close,513 occurrence(s),,,wenyi090326-4.stratalog.logdata.json[7551] _id=6a9cc95d485cab4c95405f0c ts=2026-09-06T02:00:26.2190000Z | wenyi090326-4.stratalog.logdata.json[7552] _id=6a9cc95e485cab4c95405f12 ts=2026-09-06T02:00:26.2190000Z | wenyi090326-4.stratalog.logdata.json[7547] _id=6a9cc95e485cab4c95405f18 ts=2026-09-06T02:00:26.3190000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Low,sequence,argumentationToolEvent,actionType,backing-info panel: repeated open with no intervening close,1 occurrence(s),,,wenyi090326-4.stratalog.logdata.json[2506] _id=6a9d8a2f485cab4c9540865e ts=2026-09-06T15:43:43.7770000Z,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E To Pick Up"" (1x), ""Press E to Pick Up"" (5x), ""Press E to Pick up"" (73x)",one canonical value (or documented aliases),,,
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E to Place"" (49x), ""Press E to place"" (1x)",one canonical value (or documented aliases),,,
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E To Scan"" (3x), ""Press E to Scan"" (11x)",one canonical value (or documented aliases),,,
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E To Place Glyph"" (3x), ""Press E to place glyph"" (1x)",one canonical value (or documented aliases),,,
INFO,Info,coverage,crash,,no expectation rules configured — descriptive profiling only,2 records,add the event to event_expectations.yaml to enable expectation checks,,,
PASS,Info,cross-event,,,Soil Key Puzzle finished implies soil drag interactions happened: consistent,"4 trigger(s), 30 matching record(s) in wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4",,,,soil-key-puzzle-investigation.md
PASS,Info,cross-event,,,argumentation answer submitted implies an argumentation session was opened: consistent,"5 trigger(s), 5 matching record(s) in wenyi090326-4.stratalog.logdata.json:6a9a078fe2ada9cb13ea75c4",,,,argumentation-event-investigation.md
INFO,Info,duplicates,ObjectInterEvent,,"near-duplicate records within 1s (identical data, different timestamp)",4 pair(s),review whether the interaction really fired twice,,1ms: wenyi090326-4.stratalog.logdata.json[8743] _id=6a9cb0c1485cab4c9540557c ts=2026-09-06T00:16:02.0880000Z ~ wenyi090326-4.stratalog.logdata.json[8742] _id=6a9cb0c2485cab4c9540557e ts=2026-09-06T00:16:02.0890000Z | 1ms: wenyi090326-4.stratalog.logdata.json[7997] _id=6a9cc4e6485cab4c95405b58 ts=2026-09-06T01:41:58.5000000Z ~ wenyi090326-4.stratalog.logdata.json[7996] _id=6a9cc4e6485cab4c95405b5a ts=2026-09-06T01:41:58.5010000Z | 634ms: wenyi090326-4.stratalog.logdata.json[1179] _id=6a9d910a485cab4c954090c4 ts=2026-09-06T16:12:58.8000000Z ~ wenyi090326-4.stratalog.logdata.json[1176] _id=6a9d910b485cab4c954090ca ts=2026-09-06T16:12:59.4340000Z,
INFO,Info,duplicates,PuzzlePieceVisibleEvent,,"near-duplicate records within 1s (identical data, different timestamp)",62 pair(s),review whether the interaction really fired twice,,33ms: wenyi090326-4.stratalog.logdata.json[7502] _id=6a9cc960485cab4c95405f48 ts=2026-09-06T02:00:57.9990000Z ~ wenyi090326-4.stratalog.logdata.json[7501] _id=6a9cc960485cab4c95405f4a ts=2026-09-06T02:00:58.0320000Z | 367ms: wenyi090326-4.stratalog.logdata.json[7501] _id=6a9cc960485cab4c95405f4a ts=2026-09-06T02:00:58.0320000Z ~ wenyi090326-4.stratalog.logdata.json[7500] _id=6a9cc960485cab4c95405f4c ts=2026-09-06T02:00:58.3990000Z | 33ms: wenyi090326-4.stratalog.logdata.json[7500] _id=6a9cc960485cab4c95405f4c ts=2026-09-06T02:00:58.3990000Z ~ wenyi090326-4.stratalog.logdata.json[7499] _id=6a9cc960485cab4c95405f4e ts=2026-09-06T02:00:58.4320000Z,
INFO,Info,duplicates,argumentationEvent,,"near-duplicate records within 1s (identical data, different timestamp)",2 pair(s),review whether the interaction really fired twice,,32ms: wenyi090326-4.stratalog.logdata.json[2503] _id=6a9d8a39485cab4c95408664 ts=2026-09-06T15:43:54.0180000Z ~ wenyi090326-4.stratalog.logdata.json[2500] _id=6a9d8a39485cab4c9540866a ts=2026-09-06T15:43:54.0500000Z | 31ms: wenyi090326-4.stratalog.logdata.json[496] _id=6a9d92eb485cab4c9540961a ts=2026-09-06T16:20:59.4790000Z ~ wenyi090326-4.stratalog.logdata.json[493] _id=6a9d92eb485cab4c95409620 ts=2026-09-06T16:20:59.5100000Z,
INFO,Info,duplicates,argumentationNodeEvent,,"near-duplicate records within 1s (identical data, different timestamp)",8 pair(s),review whether the interaction really fired twice,,633ms: wenyi090326-4.stratalog.logdata.json[7786] _id=6a9cc7a6485cab4c95405cfe ts=2026-09-06T01:53:42.9050000Z ~ wenyi090326-4.stratalog.logdata.json[7782] _id=6a9cc7a7485cab4c95405d06 ts=2026-09-06T01:53:43.5380000Z | 934ms: wenyi090326-4.stratalog.logdata.json[7770] _id=6a9cc7b0485cab4c95405d1e ts=2026-09-06T01:53:52.3420000Z ~ wenyi090326-4.stratalog.logdata.json[7764] _id=6a9cc7b1485cab4c95405d2a ts=2026-09-06T01:53:53.2760000Z | 100ms: wenyi090326-4.stratalog.logdata.json[3053] _id=6a9d8725485cab4c95408216 ts=2026-09-06T15:30:46.4850000Z ~ wenyi090326-4.stratalog.logdata.json[3051] _id=6a9d8726485cab4c9540821a ts=2026-09-06T15:30:46.5850000Z,
INFO,Info,duplicates,argumentationToolEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,434ms: wenyi090326-4.stratalog.logdata.json[2507] _id=6a9d8a2e485cab4c9540865c ts=2026-09-06T15:43:43.3430000Z ~ wenyi090326-4.stratalog.logdata.json[2506] _id=6a9d8a2f485cab4c9540865e ts=2026-09-06T15:43:43.7770000Z,
INFO,Info,duplicates,gameWindowUnfocusEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,0ms: wenyi090326-4.stratalog.logdata.json[2384] _id=6a9d8b88485cab4c95408754 ts=2026-09-06T15:49:28.9030000Z ~ wenyi090326-4.stratalog.logdata.json[2383] _id=6a9d8b92485cab4c95408756 ts=2026-09-06T15:49:28.903Z,
INFO,Info,frequency,DaniEvent,,unusually long gaps between records,"1 gap(s), longest 12h 36m",,12h 36m: wenyi090326-4.stratalog.logdata.json[4095] _id=6a9cce39485cab4c954079d8 ts=2026-09-06T02:21:45.5410000Z -> wenyi090326-4.stratalog.logdata.json[4086] _id=6a9d7f84485cab4c95407a04 ts=2026-09-06T14:58:13.3030000Z,,
INFO,Info,frequency,DialogueEvent,,unusually long gaps between records,"2 gap(s), longest 12h 37m",,12h 37m: wenyi090326-4.stratalog.logdata.json[4103] _id=6a9cce1f485cab4c954079c8 ts=2026-09-06T02:21:19.7300000Z -> wenyi090326-4.stratalog.logdata.json[4063] _id=6a9d7f9f485cab4c95407a32 ts=2026-09-06T14:58:40.5510000Z; 1h 20m: wenyi090326-4.stratalog.logdata.json[8554] _id=6a9cb210485cab4c954056f8 ts=2026-09-06T00:21:36.2480000Z -> wenyi090326-4.stratalog.logdata.json[8003] _id=6a9cc4e2485cab4c95405b4c ts=2026-09-06T01:41:54.3340000Z,,
INFO,Info,frequency,DialogueEvent,,very rapid consecutive records (possible duplicates or multi-fire),442 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi090326-4.stratalog.logdata.json[1856] _id=6a9d8d8f485cab4c95408b76 ts=2026-09-06T15:58:07.6410000Z -> wenyi090326-4.stratalog.logdata.json[1855] _id=6a9d8d8f485cab4c95408b78 ts=2026-09-06T15:58:07.6410000Z; 0ms: wenyi090326-4.stratalog.logdata.json[1862] _id=6a9d8d84485cab4c95408b68 ts=2026-09-06T15:57:57.1030000Z -> wenyi090326-4.stratalog.logdata.json[1863] _id=6a9d8d84485cab4c95408b6a ts=2026-09-06T15:57:57.1030000Z; 0ms: wenyi090326-4.stratalog.logdata.json[1866] _id=6a9d8d7c485cab4c95408b60 ts=2026-09-06T15:57:48.7660000Z -> wenyi090326-4.stratalog.logdata.json[1867] _id=6a9d8d7c485cab4c95408b62 ts=2026-09-06T15:57:48.7660000Z,,
INFO,Info,frequency,EndOfUnit,,unusually long gaps between records,"3 gap(s), longest 13h 35m",,13h 35m: wenyi090326-4.stratalog.logdata.json[7642] _id=6a9cc855485cab4c95405e1e ts=2026-09-06T01:56:37.5480000Z -> wenyi090326-4.stratalog.logdata.json[2931] _id=6a9d876e485cab4c9540830a ts=2026-09-06T15:31:58.6430000Z; 30m 35s: wenyi090326-4.stratalog.logdata.json[2931] _id=6a9d876e485cab4c9540830a ts=2026-09-06T15:31:58.6430000Z -> wenyi090326-4.stratalog.logdata.json[1710] _id=6a9d8e99485cab4c95408c9a ts=2026-09-06T16:02:33.8860000Z; 25m 51s: wenyi090326-4.stratalog.logdata.json[1710] _id=6a9d8e99485cab4c95408c9a ts=2026-09-06T16:02:33.8860000Z -> wenyi090326-4.stratalog.logdata.json[182] _id=6a9d94a9485cab4c9540988e ts=2026-09-06T16:28:25.4600000Z,,
INFO,Info,frequency,InputEvent,,unusually long gaps between records,"3 gap(s), longest 12h 36m",,12h 36m: wenyi090326-4.stratalog.logdata.json[4096] _id=6a9cce39485cab4c954079d6 ts=2026-09-06T02:21:45.5390000Z -> wenyi090326-4.stratalog.logdata.json[4070] _id=6a9d7f9a485cab4c95407a24 ts=2026-09-06T14:58:35.0780000Z; 1h 18m: wenyi090326-4.stratalog.logdata.json[8549] _id=6a9cb214485cab4c95405702 ts=2026-09-06T00:21:40.5980000Z -> wenyi090326-4.stratalog.logdata.json[8076] _id=6a9cc46b485cab4c95405ab8 ts=2026-09-06T01:39:55.1630000Z; 18m 10s: wenyi090326-4.stratalog.logdata.json[3540] _id=6a9d804e485cab4c95407e48 ts=2026-09-06T15:01:35.0800000Z -> wenyi090326-4.stratalog.logdata.json[3324] _id=6a9d8490485cab4c95407ff8 ts=2026-09-06T15:19:45.6550000Z,,
INFO,Info,frequency,InputEvent,,very rapid consecutive records (possible duplicates or multi-fire),93 interval(s) ≤ 0.000s..0.001s shown,,0ms: wenyi090326-4.stratalog.logdata.json[863] _id=6a9d91a8485cab4c9540933a ts=2026-09-06T16:15:36.2610000Z -> wenyi090326-4.stratalog.logdata.json[864] _id=6a9d91a8485cab4c9540933c ts=2026-09-06T16:15:36.2610000Z; 0ms: wenyi090326-4.stratalog.logdata.json[972] _id=6a9d9175485cab4c95409262 ts=2026-09-06T16:14:45.5090000Z -> wenyi090326-4.stratalog.logdata.json[971] _id=6a9d9175485cab4c95409264 ts=2026-09-06T16:14:45.5090000Z; 1ms: wenyi090326-4.stratalog.logdata.json[1052] _id=6a9d914d485cab4c954091c2 ts=2026-09-06T16:14:05.7600000Z -> wenyi090326-4.stratalog.logdata.json[1051] _id=6a9d914d485cab4c954091c6 ts=2026-09-06T16:14:05.7610000Z,,
INFO,Info,frequency,ObjectInterEvent,,unusually long gaps between records,"4 gap(s), longest 12h 49m",,12h 49m: wenyi090326-4.stratalog.logdata.json[4530] _id=6a9ccb2c485cab4c95407670 ts=2026-09-06T02:08:45.0400000Z -> wenyi090326-4.stratalog.logdata.json[4084] _id=6a9d7f86485cab4c95407a08 ts=2026-09-06T14:58:15.3710000Z; 1h 22m: wenyi090326-4.stratalog.logdata.json[8619] _id=6a9cb16c485cab4c95405674 ts=2026-09-06T00:18:52.8530000Z -> wenyi090326-4.stratalog.logdata.json[8046] _id=6a9cc4c1485cab4c95405af6 ts=2026-09-06T01:41:21.8860000Z; 22m 37s: wenyi090326-4.stratalog.logdata.json[4084] _id=6a9d7f86485cab4c95407a08 ts=2026-09-06T14:58:15.3710000Z -> wenyi090326-4.stratalog.logdata.json[3264] _id=6a9d84d4485cab4c95408070 ts=2026-09-06T15:20:53.0060000Z,,
INFO,Info,frequency,ObjectInterEvent,,very rapid consecutive records (possible duplicates or multi-fire),4 interval(s) ≤ 0.000s..0.001s shown,,0ms: wenyi090326-4.stratalog.logdata.json[566] _id=6a9d92ad485cab4c9540958e ts=2026-09-06T16:19:57.5200000Z -> wenyi090326-4.stratalog.logdata.json[565] _id=6a9d92ad485cab4c95409590 ts=2026-09-06T16:19:57.5200000Z; 0ms: wenyi090326-4.stratalog.logdata.json[597] _id=6a9d928f485cab4c95409550 ts=2026-09-06T16:19:28.0400000Z -> wenyi090326-4.stratalog.logdata.json[596] _id=6a9d928f485cab4c95409552 ts=2026-09-06T16:19:28.0400000Z; 1ms: wenyi090326-4.stratalog.logdata.json[7997] _id=6a9cc4e6485cab4c95405b58 ts=2026-09-06T01:41:58.5000000Z -> wenyi090326-4.stratalog.logdata.json[7996] _id=6a9cc4e6485cab4c95405b5a ts=2026-09-06T01:41:58.5010000Z,,
PASS,Info,frequency,PlayerPositionEvent,,continuous cadence matches expectation (~10s),"median interval 10.005s (p5 9.97s, p95 10.01s, n=1269)",~10s (±0.6s),,,08-13-26/Investigation-results/position-event-investigation.md
INFO,Info,frequency,PlayerPositionEvent,,unusually long gaps between records,"1 gap(s), longest 12h 36m",,12h 36m: wenyi090326-4.stratalog.logdata.json[4097] _id=6a9cce35485cab4c954079d4 ts=2026-09-06T02:21:41.2040000Z -> wenyi090326-4.stratalog.logdata.json[4083] _id=6a9d7f8a485cab4c95407a0a ts=2026-09-06T14:58:18.9700000Z,,
INFO,Info,frequency,PuzzlePieceVisibleEvent,,unusually long gaps between records,"4 gap(s), longest 12h 51m",,12h 51m: wenyi090326-4.stratalog.logdata.json[4560] _id=6a9ccade485cab4c95407634 ts=2026-09-06T02:07:23.7370000Z -> wenyi090326-4.stratalog.logdata.json[4051] _id=6a9d7fa8485cab4c95407a48 ts=2026-09-06T14:58:49.5530000Z; 48m 17s: wenyi090326-4.stratalog.logdata.json[3543] _id=6a9d804b485cab4c95407e44 ts=2026-09-06T15:01:30.7440000Z -> wenyi090326-4.stratalog.logdata.json[2369] _id=6a9d8b9d485cab4c95408774 ts=2026-09-06T15:49:48.5070000Z; 19m 56s: wenyi090326-4.stratalog.logdata.json[2196] _id=6a9d8bbc485cab4c954088d4 ts=2026-09-06T15:50:19.3980000Z -> wenyi090326-4.stratalog.logdata.json[1620] _id=6a9d9067485cab4c95408d4e ts=2026-09-06T16:10:15.7720000Z,,
INFO,Info,frequency,PuzzlePieceVisibleEvent,,very rapid consecutive records (possible duplicates or multi-fire),1966 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi090326-4.stratalog.logdata.json[100] _id=6a9d956a485cab4c95409926 ts=2026-09-06T16:31:38.5270000Z -> wenyi090326-4.stratalog.logdata.json[102] _id=6a9d956a485cab4c95409928 ts=2026-09-06T16:31:38.5270000Z; 0ms: wenyi090326-4.stratalog.logdata.json[101] _id=6a9d956b485cab4c9540992c ts=2026-09-06T16:31:38.5270000Z -> wenyi090326-4.stratalog.logdata.json[105] _id=6a9d956b485cab4c9540992e ts=2026-09-06T16:31:38.5270000Z; 0ms: wenyi090326-4.stratalog.logdata.json[102] _id=6a9d956a485cab4c95409928 ts=2026-09-06T16:31:38.5270000Z -> wenyi090326-4.stratalog.logdata.json[103] _id=6a9d956a485cab4c9540992a ts=2026-09-06T16:31:38.5270000Z,,
INFO,Info,frequency,Soil Key Puzzle,,unusually long gaps between records,"3 gap(s), longest 12h 49m",,12h 49m: wenyi090326-4.stratalog.logdata.json[4529] _id=6a9ccb2f485cab4c95407672 ts=2026-09-06T02:08:48.0070000Z -> wenyi090326-4.stratalog.logdata.json[4085] _id=6a9d7f86485cab4c95407a06 ts=2026-09-06T14:58:15.3700000Z; 50m 44s: wenyi090326-4.stratalog.logdata.json[4074] _id=6a9d7f94485cab4c95407a1c ts=2026-09-06T14:58:28.9460000Z -> wenyi090326-4.stratalog.logdata.json[2401] _id=6a9d8b79485cab4c95408730 ts=2026-09-06T15:49:13.7670000Z; 20m 34s: wenyi090326-4.stratalog.logdata.json[2388] _id=6a9d8b84485cab4c9540874a ts=2026-09-06T15:49:24.5640000Z -> wenyi090326-4.stratalog.logdata.json[1641] _id=6a9d9056485cab4c95408d28 ts=2026-09-06T16:09:59.2970000Z,,
INFO,Info,frequency,TopographicMapEvent,,unusually long gaps between records,"4 gap(s), longest 13h 2m",,13h 2m: wenyi090326-4.stratalog.logdata.json[4200] _id=6a9ccd0e485cab4c95407906 ts=2026-09-06T02:16:46.9730000Z -> wenyi090326-4.stratalog.logdata.json[3334] _id=6a9d8484485cab4c95407fe4 ts=2026-09-06T15:19:33.5510000Z; 22m 42s: wenyi090326-4.stratalog.logdata.json[2874] _id=6a9d8857485cab4c9540837e ts=2026-09-06T15:35:51.6820000Z -> wenyi090326-4.stratalog.logdata.json[1837] _id=6a9d8daa485cab4c95408b9c ts=2026-09-06T15:58:34.5960000Z; 16m 9s: wenyi090326-4.stratalog.logdata.json[3328] _id=6a9d848d485cab4c95407ff0 ts=2026-09-06T15:19:42.2200000Z -> wenyi090326-4.stratalog.logdata.json[2876] _id=6a9d8857485cab4c9540837a ts=2026-09-06T15:35:51.5480000Z,,
INFO,Info,frequency,TopographicMapEvent,,very rapid consecutive records (possible duplicates or multi-fire),4 interval(s) ≤ 0.004s..0.033s shown,,4ms: wenyi090326-4.stratalog.logdata.json[4424] _id=6a9ccbea485cab4c95407746 ts=2026-09-06T02:11:54.7080000Z -> wenyi090326-4.stratalog.logdata.json[4420] _id=6a9ccbea485cab4c9540774e ts=2026-09-06T02:11:54.7120000Z; 31ms: wenyi090326-4.stratalog.logdata.json[4425] _id=6a9ccbea485cab4c95407744 ts=2026-09-06T02:11:54.6770000Z -> wenyi090326-4.stratalog.logdata.json[4424] _id=6a9ccbea485cab4c95407746 ts=2026-09-06T02:11:54.7080000Z; 33ms: wenyi090326-4.stratalog.logdata.json[4202] _id=6a9ccd0e485cab4c95407902 ts=2026-09-06T02:16:46.9400000Z -> wenyi090326-4.stratalog.logdata.json[4200] _id=6a9ccd0e485cab4c95407906 ts=2026-09-06T02:16:46.9730000Z,,
