eventType,sceneName,record_count,first_timestamp,last_timestamp,span_in_scene
InputEvent,Unit 4 Dev,160,2026-09-04T19:00:09.817000+00:00,2026-09-04T19:26:49.547000+00:00,26m 39s
InputEvent,Unit 4 Dev - Anderson Base,30,2026-09-04T19:16:01.784000+00:00,2026-09-04T19:17:55.909000+00:00,1m 54s
InputEvent,Unit 4 Dev - Dungeon,369,2026-09-04T19:06:49.558000+00:00,2026-09-04T19:13:07.856000+00:00,6m 18s
InputEvent,Unit 5 Dev,110,2026-09-04T19:34:49.539000+00:00,2026-09-04T20:04:07.223000+00:00,29m 17s
InputEvent,Unit 5 Dev - Dungeon,159,2026-09-04T19:27:29.200000+00:00,2026-09-04T19:33:57.515000+00:00,6m 28s
ObjectInterEvent,Unit 1 Dev,11,2026-09-04T17:48:55.792000+00:00,2026-09-04T17:59:32.746000+00:00,10m 36s
ObjectInterEvent,Unit 2 Prod (Refactor),31,2026-09-04T18:02:49.507000+00:00,2026-09-04T18:28:05.516000+00:00,25m 16s
ObjectInterEvent,Unit 3 Dev,11,2026-09-04T18:34:53.994000+00:00,2026-09-04T18:55:22.150000+00:00,20m 28s
ObjectInterEvent,Unit 3 Dungeon Dev,24,2026-09-04T18:47:06.776000+00:00,2026-09-04T18:51:16.945000+00:00,4m 10s
ObjectInterEvent,Unit 4 Dev,18,2026-09-04T19:03:34.950000+00:00,2026-09-04T19:26:49.984000+00:00,23m 15s
ObjectInterEvent,Unit 4 Dev - Anderson Base,9,2026-09-04T19:16:47.063000+00:00,2026-09-04T19:18:01.417000+00:00,1m 14s
ObjectInterEvent,Unit 4 Dev - Dungeon,58,2026-09-04T19:06:55.766000+00:00,2026-09-04T19:13:07.855000+00:00,6m 12s
ObjectInterEvent,Unit 5 Dev,14,2026-09-04T19:35:52.166000+00:00,2026-09-04T20:04:07.223000+00:00,28m 15s
ObjectInterEvent,Unit 5 Dev - Dungeon,2,2026-09-04T19:30:55.606000+00:00,2026-09-04T19:32:02.417000+00:00,1m 6s
PlayerPositionEvent,Unit 1 Dev,77,2026-09-04T17:47:27.846000+00:00,2026-09-04T18:00:08.447000+00:00,12m 40s
PlayerPositionEvent,Unit 2 Prod (Refactor),171,2026-09-04T18:01:29.995000+00:00,2026-09-04T18:30:38.488000+00:00,29m 8s
PlayerPositionEvent,Unit 3 Dev,99,2026-09-04T18:32:40.607000+00:00,2026-09-04T18:55:20.011000+00:00,22m 39s
PlayerPositionEvent,Unit 3 Dungeon Dev,34,2026-09-04T18:46:54.620000+00:00,2026-09-04T18:52:24.861000+00:00,5m 30s
PlayerPositionEvent,Unit 4 Dev,93,2026-09-04T18:55:34.282000+00:00,2026-09-04T19:27:01.653000+00:00,31m 27s
PlayerPositionEvent,Unit 4 Dev - Anderson Base,34,2026-09-04T19:16:01.782000+00:00,2026-09-04T19:21:31.829000+00:00,5m 30s
PlayerPositionEvent,Unit 4 Dev - Dungeon,47,2026-09-04T19:04:44.057000+00:00,2026-09-04T19:13:06.054000+00:00,8m 21s
PlayerPositionEvent,Unit 5 Dev,40,2026-09-04T19:34:33.833000+00:00,2026-09-04T20:04:04.019000+00:00,29m 30s
PlayerPositionEvent,Unit 5 Dev - Dungeon,43,2026-09-04T19:27:19.315000+00:00,2026-09-04T19:34:23.710000+00:00,7m 4s
PuzzlePieceVisibleEvent,Unit 2 Prod (Refactor),720,2026-09-04T18:03:05.416000+00:00,2026-09-04T18:19:05.839000+00:00,16m 0s
PuzzlePieceVisibleEvent,Unit 3 Dungeon Dev,90,2026-09-04T18:46:54.839000+00:00,2026-09-04T18:47:35.089000+00:00,40.2s
PuzzlePieceVisibleEvent,Unit 4 Dev,202,2026-09-04T19:03:55.827000+00:00,2026-09-04T19:14:05.865000+00:00,10m 10s
PuzzlePieceVisibleEvent,Unit 5 Dev - Dungeon,170,2026-09-04T19:27:24.282000+00:00,2026-09-04T19:30:22.626000+00:00,2m 58s
Soil Key Puzzle,Unit 2 Prod (Refactor),12,2026-09-04T18:05:50.695000+00:00,2026-09-04T18:16:03.170000+00:00,10m 12s
Soil Key Puzzle,Unit 3 Dev,12,2026-09-04T18:45:46.723000+00:00,2026-09-04T18:45:58.861000+00:00,12.1s
Soil Key Puzzle,Unit 4 Dev,12,2026-09-04T19:03:34.949000+00:00,2026-09-04T19:03:51.691000+00:00,16.7s
SolarStillDesignEvent,Unit 5 Dev,4,2026-09-04T20:02:02.316000+00:00,2026-09-04T20:02:05.156000+00:00,2.8s
TerasGardenBox,Unit 4 Dev,8,2026-09-04T19:23:11.477000+00:00,2026-09-04T19:24:23.277000+00:00,1m 11s
TopographicMapEvent,Unit 2 Prod (Refactor),36,2026-09-04T18:03:23.291000+00:00,2026-09-04T18:24:22.426000+00:00,20m 59s
TopographicMapEvent,Unit 3 Dev,8,2026-09-04T18:34:51.926000+00:00,2026-09-04T18:53:41.732000+00:00,18m 49s
WaterChamberEvent,Unit 5 Dev - Dungeon,12,2026-09-04T19:30:30.236000+00:00,2026-09-04T19:33:51.112000+00:00,3m 20s
argumentationAnswerEvent,Unit 1 Dev,2,2026-09-04T17:57:35.207000+00:00,2026-09-04T17:58:00.919000+00:00,25.7s
argumentationAnswerEvent,Unit 2 Prod (Refactor),1,2026-09-04T18:29:22.785000+00:00,2026-09-04T18:29:22.785000+00:00,0.0s
argumentationAnswerEvent,Unit 3 Dev,1,2026-09-04T18:42:58.942000+00:00,2026-09-04T18:42:58.942000+00:00,0.0s
argumentationAnswerEvent,Unit 4 Dev - Anderson Base,1,2026-09-04T19:21:13.304000+00:00,2026-09-04T19:21:13.304000+00:00,0.0s
argumentationAnswerEvent,Unit 5 Dev,1,2026-09-04T20:00:00.463000+00:00,2026-09-04T20:00:00.463000+00:00,0.0s
argumentationEvent,Unit 1 Dev,4,2026-09-04T17:57:25.903000+00:00,2026-09-04T17:58:00.922000+00:00,35.0s
argumentationEvent,Unit 2 Prod (Refactor),2,2026-09-04T18:28:30.361000+00:00,2026-09-04T18:29:22.788000+00:00,52.4s
argumentationEvent,Unit 3 Dev,3,2026-09-04T18:41:18.594000+00:00,2026-09-04T18:42:58.976000+00:00,1m 40s
argumentationEvent,Unit 4 Dev - Anderson Base,3,2026-09-04T19:18:20.421000+00:00,2026-09-04T19:21:13.339000+00:00,2m 52s
argumentationEvent,Unit 5 Dev,2,2026-09-04T19:59:36.186000+00:00,2026-09-04T20:00:00.470000+00:00,24.3s
argumentationNodeEvent,Unit 1 Dev,26,2026-09-04T17:57:18.799000+00:00,2026-09-04T17:57:59.085000+00:00,40.3s
argumentationNodeEvent,Unit 2 Prod (Refactor),25,2026-09-04T18:19:35.721000+00:00,2026-09-04T18:29:21.184000+00:00,9m 45s
argumentationNodeEvent,Unit 3 Dev,21,2026-09-04T18:41:24.763000+00:00,2026-09-04T18:42:55.406000+00:00,1m 30s
argumentationNodeEvent,Unit 4 Dev - Anderson Base,41,2026-09-04T19:18:24.023000+00:00,2026-09-04T19:21:10.869000+00:00,2m 46s
argumentationNodeEvent,Unit 5 Dev,20,2026-09-04T19:59:39.887000+00:00,2026-09-04T19:59:59.163000+00:00,19.3s
argumentationToolEvent,Unit 1 Dev,5,2026-09-04T17:57:24.935000+00:00,2026-09-04T17:58:00.452000+00:00,35.5s
argumentationToolEvent,Unit 2 Prod (Refactor),4,2026-09-04T18:29:12.614000+00:00,2026-09-04T18:29:14.848000+00:00,2.2s
argumentationToolEvent,Unit 3 Dev,6,2026-09-04T18:41:20.794000+00:00,2026-09-04T18:42:58.441000+00:00,1m 37s
argumentationToolEvent,Unit 5 Dev,4,2026-09-04T19:59:37.256000+00:00,2026-09-04T19:59:39.154000+00:00,1.9s
chatEvent,Unit 2 Prod (Refactor),30,2026-09-04T18:19:25.319000+00:00,2026-09-04T18:19:33.255000+00:00,7.9s
chatEvent,Unit 5 Dev,1,2026-09-04T19:34:33.827000+00:00,2026-09-04T19:34:33.827000+00:00,0.0s
chatEvent,Unit 5 Dev - Dungeon,1,2026-09-04T19:27:19.284000+00:00,2026-09-04T19:27:19.284000+00:00,0.0s
crash,<missing sceneName>,3,,,?
gameStartEvent,MainMenu,7,2026-09-04T17:47:25.087000+00:00,2026-09-04T19:27:16.983000+00:00,1h 39m
gameWindowFocusEvent,Unit 1 Dev,3,2026-09-04T17:50:16.989000+00:00,2026-09-04T17:55:17.930000+00:00,5m 0s
gameWindowFocusEvent,Unit 2 Prod (Refactor),1,2026-09-04T18:14:40.729000+00:00,2026-09-04T18:14:40.729000+00:00,0.0s
gameWindowFocusEvent,Unit 3 Dev,2,2026-09-04T18:44:18.523000+00:00,2026-09-04T18:46:11.658000+00:00,1m 53s
gameWindowFocusEvent,Unit 4 Dev,6,2026-09-04T18:58:48.082000+00:00,2026-09-04T19:03:07.932000+00:00,4m 19s
gameWindowFocusEvent,Unit 4 Dev - Dungeon,1,2026-09-04T19:05:49.244000+00:00,2026-09-04T19:05:49.244000+00:00,0.0s
gameWindowFocusEvent,Unit 5 Dev,11,2026-09-04T19:35:48.244000+00:00,2026-09-04T20:03:10.256000+00:00,27m 22s
gameWindowFocusEvent,Unit 5 Dev - Dungeon,2,2026-09-04T19:30:11.948000+00:00,2026-09-04T19:31:25.851000+00:00,1m 13s
gameWindowUnfocusEvent,Unit 1 Dev,3,2026-09-04T17:49:01.823000+00:00,2026-09-04T17:55:15.818000+00:00,6m 13s
gameWindowUnfocusEvent,Unit 2 Prod (Refactor),1,2026-09-04T18:12:06.339000+00:00,2026-09-04T18:12:06.339000+00:00,0.0s
gameWindowUnfocusEvent,Unit 3 Dev,3,2026-09-04T18:44:01.776000+00:00,2026-09-04T18:46:11.657000+00:00,2m 9s
gameWindowUnfocusEvent,Unit 4 Dev,6,2026-09-04T18:55:42.884000+00:00,2026-09-04T19:02:58.310000+00:00,7m 15s
gameWindowUnfocusEvent,Unit 4 Dev - Dungeon,1,2026-09-04T19:05:17.260000+00:00,2026-09-04T19:05:17.260000+00:00,0.0s
gameWindowUnfocusEvent,Unit 5 Dev,11,2026-09-04T19:35:39.210000+00:00,2026-09-04T20:02:49.690000+00:00,27m 10s
gameWindowUnfocusEvent,Unit 5 Dev - Dungeon,2,2026-09-04T19:29:51.087000+00:00,2026-09-04T19:31:16.324000+00:00,1m 25s
questEvent,Unit 1 Dev,12,2026-09-04T17:47:44.442000+00:00,2026-09-04T17:59:34.881000+00:00,11m 50s
questEvent,Unit 2 Prod (Refactor),12,2026-09-04T18:02:17.225000+00:00,2026-09-04T18:30:41.990000+00:00,28m 24s
questEvent,Unit 3 Dev,11,2026-09-04T18:34:10.440000+00:00,2026-09-04T18:55:25.215000+00:00,21m 14s
questEvent,Unit 3 Dungeon Dev,2,2026-09-04T18:47:02.340000+00:00,2026-09-04T18:52:02.403000+00:00,5m 0s
questEvent,Unit 4 Dev,9,2026-09-04T19:00:08.417000+00:00,2026-09-04T19:27:04.822000+00:00,26m 56s
questEvent,Unit 4 Dev - Anderson Base,2,2026-09-04T19:16:02.838000+00:00,2026-09-04T19:21:17.973000+00:00,5m 15s
questEvent,Unit 4 Dev - Dungeon,8,2026-09-04T19:07:54.873000+00:00,2026-09-04T19:12:00.525000+00:00,4m 5s
questEvent,Unit 5 Dev,7,2026-09-04T19:35:10.414000+00:00,2026-09-04T20:03:29.370000+00:00,28m 18s
questEvent,Unit 5 Dev - Dungeon,6,2026-09-04T19:27:19.313000+00:00,2026-09-04T19:32:45.624000+00:00,5m 26s
soilMachine,Unit 4 Dev - Dungeon,5,2026-09-04T19:10:08.170000+00:00,2026-09-04T19:12:51.514000+00:00,2m 43s
