eventType,record_count,percent_of_total,session_count,first_timestamp,last_timestamp,active_span,scene_count,observed_scenes,eventKey_records,data_fields,null_value_count
gameWindowUnfocusEvent,27,0.46,1,2026-09-04T17:49:01.823000+00:00,2026-09-04T20:02:49.690000+00:00,2h 13m,7,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,<empty>,0
gameWindowFocusEvent,26,0.45,1,2026-09-04T17:50:16.989000+00:00,2026-09-04T20:03:10.256000+00:00,2h 12m,7,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev; Unit 4 Dev - Dungeon; Unit 5 Dev; Unit 5 Dev - Dungeon,0,<empty>,0
argumentationToolEvent,19,0.33,1,2026-09-04T17:57:24.935000+00:00,2026-09-04T19:59:39.154000+00:00,2h 2m,4,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 5 Dev,0,actionType; argumentationTitle; toolName,0
DaniEvent,16,0.27,1,2026-09-04T18:19:24.350000+00:00,2026-09-04T19:58:38.762000+00:00,1h 39m,4,Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev; Unit 5 Dev,0,actionType; toolName,0
argumentationEvent,14,0.24,1,2026-09-04T17:57:25.903000+00:00,2026-09-04T20:00:00.470000+00:00,2h 2m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; argumentationDescription; argumentationTitle,0
WaterChamberEvent,12,0.21,1,2026-09-04T19:30:30.236000+00:00,2026-09-04T19:33:51.112000+00:00,3m 20s,1,Unit 5 Dev - Dungeon,0,actionType; floor; machineNumber; machineType; room,0
TerasGardenBox,8,0.14,1,2026-09-04T19:23:11.477000+00:00,2026-09-04T19:24:23.277000+00:00,1m 11s,1,Unit 4 Dev,0,actionType; boxId; soilType,0
gameStartEvent,7,0.12,1,2026-09-04T17:47:25.087000+00:00,2026-09-04T19:27:16.983000+00:00,1h 39m,1,MainMenu,0,<empty>,0
DEBUGMenu,6,0.1,1,2026-09-04T18:46:45.318000+00:00,2026-09-04T19:32:45.589000+00:00,46m 0s,3,Unit 3 Dev; Unit 4 Dev; Unit 5 Dev - Dungeon,0,actionType; isOpened,0
argumentationAnswerEvent,6,0.1,1,2026-09-04T17:57:35.207000+00:00,2026-09-04T20:00:00.463000+00:00,2h 2m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev - Anderson Base; Unit 5 Dev,0,actionType; answerSubmitted; argumentationTitle,0
EndOfUnit,5,0.09,1,2026-09-04T18:00:14.183000+00:00,2026-09-04T20:04:07.221000+00:00,2h 3m,5,Unit 1 Dev; Unit 2 Prod (Refactor); Unit 3 Dev; Unit 4 Dev; Unit 5 Dev,0,Unit,0
soilMachine,5,0.09,1,2026-09-04T19:10:08.170000+00:00,2026-09-04T19:12:51.514000+00:00,2m 43s,1,Unit 4 Dev - Dungeon,0,actionType; canisterType; floor; machine; row,0
SolarStillDesignEvent,4,0.07,1,2026-09-04T20:02:02.316000+00:00,2026-09-04T20:02:05.156000+00:00,2.8s,1,Unit 5 Dev,0,actionType; designSelections; featureUsed; selectedOption,0
crash,3,0.05,1,,,?,1,<missing sceneName>,0,isPWA; message; phase; stack; type; unitId; workspace,0
