eventType,field_path,records_present,records_total,types,null_count,empty_string_count,unique_values,values_truncated,numeric_range
argumentationNodeEvent,data.nodeName,133,133,string:133,0,0,11,False,
argumentationToolEvent,data.actionType,19,19,string:19,0,0,2,False,
argumentationToolEvent,data.argumentationTitle,19,19,string:19,0,0,5,False,
argumentationToolEvent,data.toolName,19,19,string:19,0,0,8,False,
chatEvent,data.actionKey,14,32,string:14,0,0,1,False,
chatEvent,data.actionType,18,32,string:18,0,0,3,False,
chatEvent,data.chatID,32,32,string:32,0,0,15,False,
crash,data.isPWA,3,3,bool:3,0,0,1,False,
crash,data.message,3,3,string:3,0,0,2,False,
crash,data.phase,3,3,string:3,0,0,1,False,
crash,data.stack,3,3,string:3,0,2,2,False,
crash,data.type,3,3,string:3,0,0,2,False,
crash,data.unitId,3,3,string:3,0,0,2,False,
crash,data.workspace,3,3,string:3,0,0,1,False,
gameStartEvent,data.<empty>,7,7,bool:7,0,0,1,False,
gameWindowFocusEvent,data.<empty>,26,26,bool:26,0,0,1,False,
gameWindowUnfocusEvent,data.<empty>,27,27,bool:27,0,0,1,False,
questEvent,data.questEventType,69,69,string:69,0,0,2,False,
questEvent,data.questID,69,69,string:69,0,0,34,False,
questEvent,data.questName,69,69,string:69,0,0,34,False,
questEvent,data.questSuccessOrFailure,32,69,string:32,0,0,1,False,
soilMachine,data.actionType,5,5,string:5,0,0,1,False,
soilMachine,data.canisterType,5,5,string:5,0,0,3,False,
soilMachine,data.floor,5,5,string:5,0,0,3,False,
soilMachine,data.machine,5,5,string:5,0,0,2,False,
soilMachine,data.row,5,5,string:5,0,0,2,False,
