status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Low,schema,TerasGardenBox,,field-name variants that differ only in spelling/case,"data.boxID, data.boxId",one canonical field name,"data.boxID: 3 records, data.boxId: 3 records",,
WARNING,Low,schema,gameStartEvent,data.<empty>,field name is an empty string,path data.<empty> in 5 records,a descriptive field name,types: {'bool': 5},wenyi081326-1.stratalog.logdata.json[4466] _id=6a7de2e2485cab4c95389fa1 ts=2026-08-13T15:29:38.8530000Z | wenyi081326-1.stratalog.logdata.json[3996] _id=6a7de744485cab4c9538a34f ts=2026-08-13T15:48:20.6260000Z | wenyi081326-1.stratalog.logdata.json[3870] _id=6a7de84b485cab4c9538a44d ts=2026-08-13T15:52:43.3130000Z,
WARNING,Low,schema,gameWindowFocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 29 records,a descriptive field name,types: {'bool': 29},wenyi081326-1.stratalog.logdata.json[4456] _id=6a7de305485cab4c95389fb5 ts=2026-08-13T15:30:13.3870000Z | wenyi081326-1.stratalog.logdata.json[4451] _id=6a7de313485cab4c95389fbf ts=2026-08-13T15:30:27.5020000Z | wenyi081326-1.stratalog.logdata.json[4444] _id=6a7de338485cab4c95389fcd ts=2026-08-13T15:31:04.7700000Z,
WARNING,Low,schema,gameWindowUnfocusEvent,data.<empty>,field name is an empty string,path data.<empty> in 31 records,a descriptive field name,types: {'bool': 31},wenyi081326-1.stratalog.logdata.json[4462] _id=6a7de2f2485cab4c95389fa9 ts=2026-08-13T15:29:54.2280000Z | wenyi081326-1.stratalog.logdata.json[4454] _id=6a7de306485cab4c95389fb9 ts=2026-08-13T15:30:14.9490000Z | wenyi081326-1.stratalog.logdata.json[4448] _id=6a7de31a485cab4c95389fc5 ts=2026-08-13T15:30:34.2170000Z,
WARNING,Low,sequence,DaniEvent,actionType,tool open/close: repeated open with no intervening close,22 occurrence(s),,,wenyi081326-1.stratalog.logdata.json[4030] _id=6a7de64b485cab4c9538a30b ts=2026-08-13T15:44:11.2750000Z | wenyi081326-1.stratalog.logdata.json[4008] _id=6a7de6e8485cab4c9538a335 ts=2026-08-13T15:46:48.4650000Z | wenyi081326-1.stratalog.logdata.json[4007] _id=6a7de6e8485cab4c9538a337 ts=2026-08-13T15:46:48.4660000Z,08-13-26/Investigation-results/dani-event-investigation.md
WARNING,Low,sequence,PuzzlePieceVisibleEvent,actionType,piece visibility: repeated open with no intervening close,24 occurrence(s),,,wenyi081326-1.stratalog.logdata.json[2354] _id=6a7df0f8485cab4c9538b089 ts=2026-08-13T16:29:44.1790000Z | wenyi081326-1.stratalog.logdata.json[2341] _id=6a7df0fa485cab4c9538b0a9 ts=2026-08-13T16:29:45.5960000Z | wenyi081326-1.stratalog.logdata.json[1702] _id=6a7df2ca485cab4c9538b5a3 ts=2026-08-13T16:37:29.9650000Z,08-13-26/Investigation-results/puzzle-piece-visible-event.md
WARNING,Low,sequence,argumentationNodeEvent,actionType,node hover: repeated open with no intervening close,5 occurrence(s),,,wenyi081326-1.stratalog.logdata.json[1293] _id=6a7df40f485cab4c9538b8d3 ts=2026-08-13T16:42:55.6330000Z | wenyi081326-1.stratalog.logdata.json[1291] _id=6a7df410485cab4c9538b8d7 ts=2026-08-13T16:42:56.1160000Z | wenyi081326-1.stratalog.logdata.json[285] _id=6a7dfae4485cab4c9538c0b6 ts=2026-08-13T17:12:04.1730000Z,08-13-26/Investigation-results/argumentation-node-event-investigation.md
WARNING,Low,sequence,argumentationToolEvent,actionType,backing-info panel: repeated open with no intervening close,6 occurrence(s),,,wenyi081326-1.stratalog.logdata.json[3359] _id=6a7deb06485cab4c9538a84b ts=2026-08-13T16:04:22.6010000Z | wenyi081326-1.stratalog.logdata.json[3358] _id=6a7deb07485cab4c9538a84d ts=2026-08-13T16:04:23.6850000Z | wenyi081326-1.stratalog.logdata.json[3353] _id=6a7deb18485cab4c9538a857 ts=2026-08-13T16:04:40.4760000Z,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
PASS,Info,cross-event,,,Soil Key Puzzle finished implies soil drag interactions happened: consistent,"2 trigger(s), 22 matching record(s) in wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963",,,,soil-key-puzzle-investigation.md
PASS,Info,cross-event,,,argumentation answer submitted implies an argumentation session was opened: consistent,"5 trigger(s), 5 matching record(s) in wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963",,,,argumentation-event-investigation.md
PASS,Info,cross-event,,,waypoint use implies the topographic map was opened: consistent,"15 trigger(s), 8 matching record(s) in wenyi081326-1.stratalog.logdata.json:6a7ccbfbd35a78a5b38a5963",,,,topographic-map-event-investigation.md
INFO,Info,duplicates,DaniEvent,,"near-duplicate records within 1s (identical data, different timestamp)",14 pair(s),review whether the interaction really fired twice,,1ms: wenyi081326-1.stratalog.logdata.json[4008] _id=6a7de6e8485cab4c9538a335 ts=2026-08-13T15:46:48.4650000Z ~ wenyi081326-1.stratalog.logdata.json[4007] _id=6a7de6e8485cab4c9538a337 ts=2026-08-13T15:46:48.4660000Z | 27ms: wenyi081326-1.stratalog.logdata.json[3993] _id=6a7de74a485cab4c9538a355 ts=2026-08-13T15:48:25.7270000Z ~ wenyi081326-1.stratalog.logdata.json[3992] _id=6a7de74a485cab4c9538a357 ts=2026-08-13T15:48:25.7540000Z | 1ms: wenyi081326-1.stratalog.logdata.json[3992] _id=6a7de74a485cab4c9538a357 ts=2026-08-13T15:48:25.7540000Z ~ wenyi081326-1.stratalog.logdata.json[3991] _id=6a7de74a485cab4c9538a359 ts=2026-08-13T15:48:25.7550000Z,
INFO,Info,duplicates,ObjectInterEvent,,"near-duplicate records within 1s (identical data, different timestamp)",3 pair(s),review whether the interaction really fired twice,,1ms: wenyi081326-1.stratalog.logdata.json[4385] _id=6a7de382485cab4c9538a043 ts=2026-08-13T15:32:18.6460000Z ~ wenyi081326-1.stratalog.logdata.json[4384] _id=6a7de382485cab4c9538a045 ts=2026-08-13T15:32:18.6470000Z | 150ms: wenyi081326-1.stratalog.logdata.json[4260] _id=6a7de4c4485cab4c9538a13d ts=2026-08-13T15:37:40.2920000Z ~ wenyi081326-1.stratalog.logdata.json[4258] _id=6a7de4c4485cab4c9538a141 ts=2026-08-13T15:37:40.4420000Z | 134ms: wenyi081326-1.stratalog.logdata.json[4233] _id=6a7de4d9485cab4c9538a173 ts=2026-08-13T15:38:01.8520000Z ~ wenyi081326-1.stratalog.logdata.json[4231] _id=6a7de4d9485cab4c9538a177 ts=2026-08-13T15:38:01.9860000Z,
INFO,Info,duplicates,PuzzlePieceVisibleEvent,,"near-duplicate records within 1s (identical data, different timestamp)",3 pair(s),review whether the interaction really fired twice,,50ms: wenyi081326-1.stratalog.logdata.json[2376] _id=6a7df0f3485cab4c9538b061 ts=2026-08-13T16:29:39.5420000Z ~ wenyi081326-1.stratalog.logdata.json[2375] _id=6a7df0f3485cab4c9538b063 ts=2026-08-13T16:29:39.5920000Z | 50ms: wenyi081326-1.stratalog.logdata.json[1699] _id=6a7df2ca485cab4c9538b5b1 ts=2026-08-13T16:37:30.0130000Z ~ wenyi081326-1.stratalog.logdata.json[1694] _id=6a7df2ca485cab4c9538b5b3 ts=2026-08-13T16:37:30.0630000Z | 135ms: wenyi081326-1.stratalog.logdata.json[1621] _id=6a7df2d9485cab4c9538b647 ts=2026-08-13T16:37:44.5530000Z ~ wenyi081326-1.stratalog.logdata.json[1620] _id=6a7df2d9485cab4c9538b649 ts=2026-08-13T16:37:44.6880000Z,
INFO,Info,duplicates,argumentationEvent,,"near-duplicate records within 1s (identical data, different timestamp)",2 pair(s),review whether the interaction really fired twice,,14ms: wenyi081326-1.stratalog.logdata.json[3346] _id=6a7deb1c485cab4c9538a865 ts=2026-08-13T16:04:44.6640000Z ~ wenyi081326-1.stratalog.logdata.json[3342] _id=6a7deb1c485cab4c9538a86b ts=2026-08-13T16:04:44.6780000Z | 14ms: wenyi081326-1.stratalog.logdata.json[1270] _id=6a7df43f485cab4c9538b901 ts=2026-08-13T16:43:43.4080000Z ~ wenyi081326-1.stratalog.logdata.json[1266] _id=6a7df43f485cab4c9538b907 ts=2026-08-13T16:43:43.4220000Z,
INFO,Info,duplicates,argumentationNodeEvent,,"near-duplicate records within 1s (identical data, different timestamp)",22 pair(s),review whether the interaction really fired twice,,15ms: wenyi081326-1.stratalog.logdata.json[4162] _id=6a7de56c485cab4c9538a201 ts=2026-08-13T15:40:28.5560000Z ~ wenyi081326-1.stratalog.logdata.json[4161] _id=6a7de56c485cab4c9538a203 ts=2026-08-13T15:40:28.5710000Z | 15ms: wenyi081326-1.stratalog.logdata.json[4156] _id=6a7de571485cab4c9538a20d ts=2026-08-13T15:40:33.1070000Z ~ wenyi081326-1.stratalog.logdata.json[4155] _id=6a7de571485cab4c9538a20f ts=2026-08-13T15:40:33.1220000Z | 14ms: wenyi081326-1.stratalog.logdata.json[4152] _id=6a7de574485cab4c9538a215 ts=2026-08-13T15:40:36.2760000Z ~ wenyi081326-1.stratalog.logdata.json[4151] _id=6a7de574485cab4c9538a217 ts=2026-08-13T15:40:36.2900000Z,
INFO,Info,duplicates,chatEvent,,"near-duplicate records within 1s (identical data, different timestamp)",6 pair(s),review whether the interaction really fired twice,,568ms: wenyi081326-1.stratalog.logdata.json[4021] _id=6a7de653485cab4c9538a31b ts=2026-08-13T15:44:19.9600000Z ~ wenyi081326-1.stratalog.logdata.json[4019] _id=6a7de654485cab4c9538a31f ts=2026-08-13T15:44:20.5280000Z | 500ms: wenyi081326-1.stratalog.logdata.json[4019] _id=6a7de654485cab4c9538a31f ts=2026-08-13T15:44:20.5280000Z ~ wenyi081326-1.stratalog.logdata.json[4017] _id=6a7de654485cab4c9538a323 ts=2026-08-13T15:44:21.0280000Z | 567ms: wenyi081326-1.stratalog.logdata.json[4017] _id=6a7de654485cab4c9538a323 ts=2026-08-13T15:44:21.0280000Z ~ wenyi081326-1.stratalog.logdata.json[4015] _id=6a7de655485cab4c9538a327 ts=2026-08-13T15:44:21.5950000Z,
INFO,Info,duplicates,gameWindowFocusEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,609ms: wenyi081326-1.stratalog.logdata.json[2280] _id=6a7df13d485cab4c9538b11d ts=2026-08-13T16:30:53.4220000Z ~ wenyi081326-1.stratalog.logdata.json[2278] _id=6a7df13d485cab4c9538b121 ts=2026-08-13T16:30:54.0310000Z,
INFO,Info,duplicates,questEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,1ms: wenyi081326-1.stratalog.logdata.json[80] _id=6a7dfc9d485cab4c9538c250 ts=2026-08-13T17:19:25.8810000Z ~ wenyi081326-1.stratalog.logdata.json[79] _id=6a7dfc9d485cab4c9538c252 ts=2026-08-13T17:19:25.8820000Z,
INFO,Info,frequency,DaniEvent,,unusually long gaps between records,"2 gap(s), longest 18m 5s",,18m 5s: wenyi081326-1.stratalog.logdata.json[1242] _id=6a7df462485cab4c9538b93b ts=2026-08-13T16:44:17.7680000Z -> wenyi081326-1.stratalog.logdata.json[777] _id=6a7df89f485cab4c9538bcde ts=2026-08-13T17:02:23.3670000Z; 11m 1s: wenyi081326-1.stratalog.logdata.json[4464] _id=6a7de2ea485cab4c95389fa5 ts=2026-08-13T15:29:44.7660000Z -> wenyi081326-1.stratalog.logdata.json[4141] _id=6a7de57d485cab4c9538a22b ts=2026-08-13T15:40:46.0450000Z,,
INFO,Info,frequency,DaniEvent,,very rapid consecutive records (possible duplicates or multi-fire),38 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi081326-1.stratalog.logdata.json[1241] _id=6a7df461485cab4c9538b939 ts=2026-08-13T16:44:17.7680000Z -> wenyi081326-1.stratalog.logdata.json[1242] _id=6a7df462485cab4c9538b93b ts=2026-08-13T16:44:17.7680000Z; 0ms: wenyi081326-1.stratalog.logdata.json[3800] _id=6a7de8f6485cab4c9538a4d7 ts=2026-08-13T15:55:34.3730000Z -> wenyi081326-1.stratalog.logdata.json[3801] _id=6a7de8f6485cab4c9538a4d9 ts=2026-08-13T15:55:34.3730000Z; 0ms: wenyi081326-1.stratalog.logdata.json[3994] _id=6a7de74a485cab4c9538a353 ts=2026-08-13T15:48:25.7270000Z -> wenyi081326-1.stratalog.logdata.json[3993] _id=6a7de74a485cab4c9538a355 ts=2026-08-13T15:48:25.7270000Z,,
INFO,Info,frequency,DialogueEvent,,very rapid consecutive records (possible duplicates or multi-fire),378 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi081326-1.stratalog.logdata.json[110] _id=6a7dfc78485cab4c9538c214 ts=2026-08-13T17:18:48.3150000Z -> wenyi081326-1.stratalog.logdata.json[109] _id=6a7dfc78485cab4c9538c216 ts=2026-08-13T17:18:48.3150000Z; 0ms: wenyi081326-1.stratalog.logdata.json[1214] _id=6a7df480485cab4c9538b971 ts=2026-08-13T16:44:48.5540000Z -> wenyi081326-1.stratalog.logdata.json[1213] _id=6a7df480485cab4c9538b973 ts=2026-08-13T16:44:48.5540000Z; 0ms: wenyi081326-1.stratalog.logdata.json[1220] _id=6a7df47d485cab4c9538b963 ts=2026-08-13T16:44:45.4700000Z -> wenyi081326-1.stratalog.logdata.json[1221] _id=6a7df47d485cab4c9538b965 ts=2026-08-13T16:44:45.4700000Z,,
INFO,Info,frequency,EndOfUnit,,unusually long gaps between records,"1 gap(s), longest 28m 45s",,28m 45s: wenyi081326-1.stratalog.logdata.json[988] _id=6a7df661485cab4c9538bb35 ts=2026-08-13T16:52:49.4630000Z -> wenyi081326-1.stratalog.logdata.json[1] _id=6a7dfd1e485cab4c9538c2ee ts=2026-08-13T17:21:34.5590000Z,,
INFO,Info,frequency,InputEvent,,very rapid consecutive records (possible duplicates or multi-fire),68 interval(s) ≤ 0.016s..0.016s shown,,16ms: wenyi081326-1.stratalog.logdata.json[2072] _id=6a7df1c6485cab4c9538b2bd ts=2026-08-13T16:33:10.7920000Z -> wenyi081326-1.stratalog.logdata.json[2071] _id=6a7df1c6485cab4c9538b2bf ts=2026-08-13T16:33:10.8080000Z; 16ms: wenyi081326-1.stratalog.logdata.json[2366] _id=6a7df0f6485cab4c9538b071 ts=2026-08-13T16:29:42.5110000Z -> wenyi081326-1.stratalog.logdata.json[2365] _id=6a7df0f6485cab4c9538b073 ts=2026-08-13T16:29:42.5270000Z; 16ms: wenyi081326-1.stratalog.logdata.json[2404] _id=6a7df0ef485cab4c9538b019 ts=2026-08-13T16:29:35.2740000Z -> wenyi081326-1.stratalog.logdata.json[2403] _id=6a7df0ef485cab4c9538b01b ts=2026-08-13T16:29:35.2900000Z,,
INFO,Info,frequency,ObjectInterEvent,,unusually long gaps between records,"3 gap(s), longest 23m 45s",,23m 45s: wenyi081326-1.stratalog.logdata.json[1744] _id=6a7df2a9485cab4c9538b54d ts=2026-08-13T16:36:57.2980000Z -> wenyi081326-1.stratalog.logdata.json[864] _id=6a7df83b485cab4c9538bc30 ts=2026-08-13T17:00:43.1860000Z; 17m 46s: wenyi081326-1.stratalog.logdata.json[3941] _id=6a7de78e485cab4c9538a3bd ts=2026-08-13T15:49:34.0710000Z -> wenyi081326-1.stratalog.logdata.json[3244] _id=6a7debb9485cab4c9538a931 ts=2026-08-13T16:07:21.0530000Z; 13m 16s: wenyi081326-1.stratalog.logdata.json[2800] _id=6a7ded97485cab4c9538ad0b ts=2026-08-13T16:15:19.3910000Z -> wenyi081326-1.stratalog.logdata.json[2436] _id=6a7df0b4485cab4c9538afe5 ts=2026-08-13T16:28:36.3820000Z,,
INFO,Info,frequency,ObjectInterEvent,,very rapid consecutive records (possible duplicates or multi-fire),1 interval(s) ≤ 0.001s..0.001s shown,,1ms: wenyi081326-1.stratalog.logdata.json[4385] _id=6a7de382485cab4c9538a043 ts=2026-08-13T15:32:18.6460000Z -> wenyi081326-1.stratalog.logdata.json[4384] _id=6a7de382485cab4c9538a045 ts=2026-08-13T15:32:18.6470000Z,,
PASS,Info,frequency,PlayerPositionEvent,,continuous cadence matches expectation (~10s),"median interval 10.005s (p5 9.99s, p95 10.01s, n=566)",~10s (±0.6s),,,08-13-26/Investigation-results/position-event-investigation.md
INFO,Info,frequency,PuzzlePieceVisibleEvent,,unusually long gaps between records,"2 gap(s), longest 18m 14s",,18m 14s: wenyi081326-1.stratalog.logdata.json[3051] _id=6a7decaa485cab4c9538aab7 ts=2026-08-13T16:11:20.3450000Z -> wenyi081326-1.stratalog.logdata.json[2410] _id=6a7df0ef485cab4c9538b01d ts=2026-08-13T16:29:34.8750000Z; 17m 53s: wenyi081326-1.stratalog.logdata.json[3922] _id=6a7de799485cab4c9538a3e5 ts=2026-08-13T15:49:45.0430000Z -> wenyi081326-1.stratalog.logdata.json[3219] _id=6a7debcb485cab4c9538a965 ts=2026-08-13T16:07:38.2540000Z,,
INFO,Info,frequency,PuzzlePieceVisibleEvent,,very rapid consecutive records (possible duplicates or multi-fire),231 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi081326-1.stratalog.logdata.json[1477] _id=6a7df304485cab4c9538b761 ts=2026-08-13T16:38:28.1250000Z -> wenyi081326-1.stratalog.logdata.json[1479] _id=6a7df304485cab4c9538b763 ts=2026-08-13T16:38:28.1250000Z; 0ms: wenyi081326-1.stratalog.logdata.json[1479] _id=6a7df304485cab4c9538b763 ts=2026-08-13T16:38:28.1250000Z -> wenyi081326-1.stratalog.logdata.json[1478] _id=6a7df304485cab4c9538b765 ts=2026-08-13T16:38:28.1250000Z; 0ms: wenyi081326-1.stratalog.logdata.json[1480] _id=6a7df304485cab4c9538b75f ts=2026-08-13T16:38:28.1250000Z -> wenyi081326-1.stratalog.logdata.json[1477] _id=6a7df304485cab4c9538b761 ts=2026-08-13T16:38:28.1250000Z,,
INFO,Info,frequency,Soil Key Puzzle,,unusually long gaps between records,"1 gap(s), longest 21m 4s",,21m 4s: wenyi081326-1.stratalog.logdata.json[3232] _id=6a7debc4485cab4c9538a949 ts=2026-08-13T16:07:32.3730000Z -> wenyi081326-1.stratalog.logdata.json[2437] _id=6a7df0b4485cab4c9538afe3 ts=2026-08-13T16:28:36.3810000Z,,
INFO,Info,frequency,TopographicMapEvent,,unusually long gaps between records,"1 gap(s), longest 21m 45s",,21m 45s: wenyi081326-1.stratalog.logdata.json[3790] _id=6a7de91d485cab4c9538a4ed ts=2026-08-13T15:56:13.8410000Z -> wenyi081326-1.stratalog.logdata.json[2693] _id=6a7dee37485cab4c9538ade1 ts=2026-08-13T16:17:59.8160000Z,,
INFO,Info,frequency,argumentationAnswerEvent,,unusually long gaps between records,"3 gap(s), longest 38m 58s",,38m 58s: wenyi081326-1.stratalog.logdata.json[3348] _id=6a7deb1c485cab4c9538a861 ts=2026-08-13T16:04:44.6610000Z -> wenyi081326-1.stratalog.logdata.json[1272] _id=6a7df43f485cab4c9538b8fd ts=2026-08-13T16:43:43.4050000Z; 29m 2s: wenyi081326-1.stratalog.logdata.json[1272] _id=6a7df43f485cab4c9538b8fd ts=2026-08-13T16:43:43.4050000Z -> wenyi081326-1.stratalog.logdata.json[251] _id=6a7dfb0d485cab4c9538c0fa ts=2026-08-13T17:12:45.8760000Z; 23m 40s: wenyi081326-1.stratalog.logdata.json[4122] _id=6a7de590485cab4c9538a251 ts=2026-08-13T15:41:04.5200000Z -> wenyi081326-1.stratalog.logdata.json[3348] _id=6a7deb1c485cab4c9538a861 ts=2026-08-13T16:04:44.6610000Z,,
INFO,Info,frequency,argumentationEvent,,unusually long gaps between records,"3 gap(s), longest 37m 54s",,37m 54s: wenyi081326-1.stratalog.logdata.json[3342] _id=6a7deb1c485cab4c9538a86b ts=2026-08-13T16:04:44.6780000Z -> wenyi081326-1.stratalog.logdata.json[1315] _id=6a7df3ff485cab4c9538b8a7 ts=2026-08-13T16:42:39.2760000Z; 27m 49s: wenyi081326-1.stratalog.logdata.json[1266] _id=6a7df43f485cab4c9538b907 ts=2026-08-13T16:43:43.4220000Z -> wenyi081326-1.stratalog.logdata.json[310] _id=6a7dfac4485cab4c9538c084 ts=2026-08-13T17:11:32.6590000Z; 22m 18s: wenyi081326-1.stratalog.logdata.json[4120] _id=6a7de590485cab4c9538a255 ts=2026-08-13T15:41:04.5230000Z -> wenyi081326-1.stratalog.logdata.json[3407] _id=6a7deaca485cab4c9538a7eb ts=2026-08-13T16:03:22.5410000Z,,
INFO,Info,frequency,argumentationEvent,,very rapid consecutive records (possible duplicates or multi-fire),2 interval(s) ≤ 0.014s..0.014s shown,,14ms: wenyi081326-1.stratalog.logdata.json[1270] _id=6a7df43f485cab4c9538b901 ts=2026-08-13T16:43:43.4080000Z -> wenyi081326-1.stratalog.logdata.json[1266] _id=6a7df43f485cab4c9538b907 ts=2026-08-13T16:43:43.4220000Z; 14ms: wenyi081326-1.stratalog.logdata.json[3346] _id=6a7deb1c485cab4c9538a865 ts=2026-08-13T16:04:44.6640000Z -> wenyi081326-1.stratalog.logdata.json[3342] _id=6a7deb1c485cab4c9538a86b ts=2026-08-13T16:04:44.6780000Z,,
INFO,Info,frequency,argumentationNodeEvent,,unusually long gaps between records,"4 gap(s), longest 22m 33s",,22m 33s: wenyi081326-1.stratalog.logdata.json[4124] _id=6a7de58d485cab4c9538a24d ts=2026-08-13T15:41:01.6190000Z -> wenyi081326-1.stratalog.logdata.json[3400] _id=6a7dead7485cab4c9538a7f9 ts=2026-08-13T16:03:35.5460000Z; 20m 38s: wenyi081326-1.stratalog.logdata.json[2512] _id=6a7def29485cab4c9538af4b ts=2026-08-13T16:22:02.0450000Z -> wenyi081326-1.stratalog.logdata.json[1312] _id=6a7df400485cab4c9538b8ad ts=2026-08-13T16:42:40.5920000Z; 19m 0s: wenyi081326-1.stratalog.logdata.json[1275] _id=6a7df42d485cab4c9538b8f7 ts=2026-08-13T16:43:25.0800000Z -> wenyi081326-1.stratalog.logdata.json[774] _id=6a7df8a1485cab4c9538bce4 ts=2026-08-13T17:02:25.3180000Z,,
